Jarea,JcomSize,JcomType,Jcompany,Jdb,Jeducation,Jexperience,JhireCount,JmaxSalary,JminSalary,Jname,JpayTimes,Jrequirements,Jsalary,Jtag,Jtype,Jwelfare
云南-,50-200,私营/民营企业,昆明彩鹏广告有限公司,,不限学历 ,不限经验,招聘1-5,6.0,4.5,女驾驶员,,,,广告/公关/设计/市场/会展,,
云南-大理,500-1000,私营/民营企业,大理佳利集团,,大专学历 ,不限经验,招聘1-5,15.0,10.0,地产主管会计,,,,多元化集团公司,,
云南-,10-50,私营/民营企业,昆明林鹏消防设备有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,维修技术员,,,,机械制造/机电设备/重工业,,
云南-昭通,1000,私营/民营企业,东方希望集团,,大专学历 ,不限经验,招聘1-5,8.0,6.0,管道安装/水电工程师—水富畜牧,,,,农/林/牧/副/渔业,,
云南-昆明,50-200,私营/民营企业,云南鑫邦建设工程有限公司,,本科学历 ,不限经验,招聘1-5,10.0,8.0,成本控制中心经理,,,,建筑/房地产/物业/装潢,,
云南-,10,私营/民营企业,久久美容养生会所,,不限学历 ,不限经验,招聘5-10,8.0,6.0,美容顾问,,,,医疗/保健/美容/卫生,,
云南-大理,500-1000,股份制企业,云南皇氏来思尔乳业有限公司,,大专学历 ,不限经验,招聘1-5,0,0,设备机修人员,,,,快速消费品,,
云南-红河,10-50,私营/民营企业,康宝特健身器材有限公司,,中专学历 ,不限经验,招聘1-5,6.0,4.5,导购员（南湖荟）,,,,批发零售,,
云南-曲靖,50-200,私营/民营企业,中航共创（北京）教育科有限公司,,中专学历 ,不限经验,,10.0,8.0,地州负责人,,,,航天/航空,,
云南-昭通,50-200,私营/民营企业,云南朔铭电力工程有限公司,,本科学历 ,不限经验,招聘1-5,4.5,3.0,造价员,,,,电力/水利/能源/矿产,,
云南-德宏,200-500,私营/民营企业,重庆晓月物业管理有限公司盈江分公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,营销策划专员,,,,建筑/房地产/物业/装潢,,
浙江-绍兴,10-50,私营/民营企业,浙江华灵环境科技有限公司,,不限学历 ,不限经验,,0,0,环境影响评价工程技术人员,,,,环保,,
云南-昭通,10-50,私营/民营企业,火德红贝贝启蒙幼儿园,,高中学历 ,不限经验,,3.0,2.0,幼儿教师,,,,教育/培训/学术/科研,,
云南-曲靖,50-200,私营/民营企业,曲靖爱尔眼科医院有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,大客户经理,,,,医疗/保健/美容/卫生,,
云南-玉溪,10-50,私营/民营企业,玉溪沐童文化传播有限责任公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,学习管理师,,,,教育/培训/学术/科研,,
云南-昆明,50-200,私营/民营企业,锦康医院,,中专学历 ,不限经验,招聘1-5,0,0,药剂士,,,,医疗/保健/美容/卫生,,
云南-楚雄,10-50,私营/民营企业,楚雄仟尚装饰工程有限公司,,不限学历 ,不限经验,,4.5,3.0,销售代表,,,,建筑/房地产/物业/装潢,,
云南-玉溪,500-1000,私营/民营企业,植物医生玉溪专卖店,,不限学历 ,不限经验,招聘1-5,8.0,6.0,区域销售经理,,,,快速消费品,,
云南-大理,500-1000,私营/民营企业,大理佳利集团,,不限学历 ,不限经验,招聘1-5,6.0,4.5,砼车驾驶员,,,,多元化集团公司,,
云南-大理,500-1000,股份制企业,云南皇氏来思尔乳业有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,销售会计（大理）,,,,快速消费品,,
云南-,10-50,私营/民营企业,云南炬坤企业管理有限公司,,不限学历 ,不限经验,,15.0,10.0,销售代表,,,,广告/公关/设计/市场/会展,,
浙江-丽水,1000,私营/民营企业,云南昆卫教育集团,,本科学历 ,不限经验,招聘1-5,6.0,4.5,多媒体管理员,,,,教育/培训/学术/科研,,
云南-玉溪,500-1000,私营/民营企业,植物医生玉溪专卖店,,不限学历 ,不限经验,招聘1-5,4.5,3.0,财务,,,,快速消费品,,
广东-深圳,1000,私营/民营企业,深圳市升阳升环境产业集团有限公司,,本科学历 ,不限经验,,5.5,4.5,聘应届毕业生+七天带薪培训+导师责任制,,,,环保,,
云南-红河,10-50,私营/民营企业,红河州合和文化发展有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,平面设计师,,,,广告/公关/设计/市场/会展,,
云南-大理,10-50,私营/民营企业,大理跃宇商贸有限责任公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,出纳,,,,批发零售,,
辽宁-阜新,10-50,私营/民营企业,景明大酒店,,高中学历 ,不限经验,,4.5,3.0,酒店前台,,,,旅游/酒店,,
内蒙古-赤峰,10-50,事业单位,北京伯乐英才国际人力资源有限公司,,本科学历 ,不限经验,招聘1-5,8.0,6.0,高薪兼职赤峰代理,,,,人才交流/中介/人力资源,,
安徽-安庆,10-50,私营/民营企业,昆明前程教育,,本科学历 ,不限经验,招聘1-5,0,0,校长助理,,,,教育/培训/学术/科研,,
安徽-安庆,10-50,私营/民营企业,昆明前程教育,,硕士学历 ,不限经验,招聘1-5,0,0,大学语文（教师）,,,,教育/培训/学术/科研,,
云南-大理,200-500,股份制企业,大理福门置业有限公司,,大专学历 ,不限经验,,0,0,水电工程师,,,,建筑/房地产/物业/装潢,,
